Package Name;App Version Code;App Version Name;Reviewer Language;Device;Review Submit Date and Time;Review Submit Millis Since Epoch;Review Last Update Date and Time;Review Last Update Millis Since Epoch;Star Rating;Review Title;Review Text;Developer Reply Date and Time;Developer Reply Millis Since Epoch;Developer Reply Text;Review Link;;;;;;
com.pos.bisaaiacademy;65;2.0.0.6;id;jadelte;2021-08-21T09:52:27Z;1,63E+17;2021-08-21T09:52:27Z;1,63E+17;5;;Aplikasi ini berisi sangat bermanfaat dan coursenya sangat relevan juga dibutuhkan untuk belajar IT dengan mudah oleh orang awam seperti saya;;;;http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOE7dKLU1KpAC6_fqFE7pObOftCnlApjaydeZvXpK0cySzEDFdjdfDNtgbGFbnoGdkUd9dGOpVUhrJwy&corpus=PUBLIC_REVIEWS;;;;;;
com.pos.bisaaiacademy;65;2.0.0.6;id;RMX2189;2021-08-22T04:42:53Z;1,63E+17;2021-08-22T04:42:53Z;1,63E+17;5;;Aplikasi nya bagus bgt untuk membantu kita belajar dunia IT. Aksesnya juga enak dan nyaman.;;;;http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOFfMAAfyfnt4t6iDYMYqnAFNntr-zCscVZ_s63V41twup3DHWOI8OLo0sCTz7UKuLZ1sOxmy-qy1ZXu&corpus=PUBLIC_REVIEWS;;;;;;
com.pos.bisaaiacademy;65;2.0.0.6;id;1938;2021-08-22T04:57:05Z;1,63E+17;2021-08-22T04:57:05Z;1,63E+17;5;;"""Aplikasinya sangat berguna untuk belajar Data Science"; Kecerdasan Artifisial;" dan Teknologi Informasi. Dilengkapi dengan silabus sehingga kita bisa mempelajarinya dengan mudah. Dan ada workshopnya jugaaa. Jadi ilmu dan manfaat yang didapat banyak sekali. Ada sertifikat yang pastinya berguna bgt buat yang mau daftar kuliah ataupun cari kerja.""";;;;http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOGJwI0dsIqZKelpc57inMGsHAiJkmkn0rOePgf-w2oPIV2kFXYTwaQvl9RsdNWgnITRCm-OH9F67aME&corpus=PUBLIC_REVIEWS;;;;
com.pos.bisaaiacademy;65;2.0.0.6;id;on7xelte;2021-08-22T15:37:49Z;1,63E+17;2021-08-22T15:37:49Z;1,63E+17;5;;Rekomended Aplikasi untuk belajar AI nih. Terimakssihh karena sudah membuat aplikasi ini;;;;http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOFYNYhilM8L-9SnrzlLQj93MPGNfBkE2dBZmPWjn079kxVzVj6XMYw8d8yTc3FmmuZuCu028WzmkiYC&corpus=PUBLIC_REVIEWS;;;;;;
com.pos.bisaaiacademy;65;2.0.0.6;id;RMX1941;2021-08-22T15:43:30Z;1,63E+17;2021-08-22T15:43:30Z;1,63E+17;5;;"""Mahasiswa sangat dimudahkan dengan adanya aplikasi ini"; banyak mahasiswa tingkat akhir yang ingin memperdalam ilmunya lebih lagi. Dalam aplikasi BISA AI Academy kita dapat belajar secara free maupun berbayar mengenai AI;" Data Science IOT dan lain nya. Kita juga di arahkan untuk selau berkompetisi. Dimudahkan juga dengan fitur event umum dan bersertifikat. BISA AI mantulzz""";;;;http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOHdsJRb4BORvS-dMEB3qPEXtulQoNBj1gZ9k_8vqpe1SR_MeKtYJ_ccGVqkiVg-SypIHQAdmGVQIBO5&corpus=PUBLIC_REVIEWS;;;;
com.pos.bisaaiacademy;65;2.0.0.6;id;a50s;2021-08-23T04:46:40Z;1,63E+17;2021-08-23T04:46:40Z;1,63E+17;5;;Good;;;;http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOGZX22ScAQdjLxzU8hMjyO-vTVC0G8thQ2SUinZ4af9JUtZXg9Aw03GtBSXTaNFIC27VvLwAPD38Lw4&corpus=PUBLIC_REVIEWS;;;;;;
com.pos.bisaaiacademy;65;2.0.0.6;en;santoni;2021-08-23T04:07:37Z;1,63E+17;2021-08-23T08:56:34Z;1,63E+17;5;;Appnya bagus dan bermanfaat =ØMÜ;;;;http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOGJl_gwFB2Gq4H1dHrVvpZjVJZyfNi2FMEkSaQHfKdYAXjTE2cr9izGTZjMcu1JptT30QO-gkgx57Eb&corpus=PUBLIC_REVIEWS;;;;;;
com.pos.bisaaiacademy;65;2.0.0.6;id;2027;2021-08-23T12:05:41Z;1,63E+17;2021-08-23T12:05:41Z;1,63E+17;5;;Course nya bagus bagus semuaa. Thanks BISA AI ACADEMY.;;;;http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOGKuyNCqDXRUP0W78LUBJMVpMlN8__CKEVNVxgyp1pl6mu0FtcNUT74FneoHlSh1Ug7UHdw2tZ8Mmo_&corpus=PUBLIC_REVIEWS;;;;;;
com.pos.bisaaiacademy;;;id;on7xelte;2021-08-23T13:03:59Z;1,63E+17;2021-08-23T13:03:59Z;1,63E+17;5;;Aplikasi yang super terpandu dalam memberikan ilmu tentang AI sangat rekomen dan seru setiap coursenya lengkaap;;;;http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOGgW11fbTk8gx3WVJvXEZt8u31OlzUGt7u8_uJYapOphYX1EerRUqrCMf0fGY3q-NOFDrOeTZHGZzVG&corpus=PUBLIC_REVIEWS;;;;;;
com.pos.bisaaiacademy;;;id;mido;2021-08-23T14:39:21Z;1,63E+17;2021-08-23T14:39:21Z;1,63E+17;5;;keren;;;;http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOFqr-TLBQwTKatYeeUiWuOuwy4AR2O76tP7vj8y2TZJgrSLrUsKvDjwZ4L_ihgycCbQa3rRAckAWrj2&corpus=PUBLIC_REVIEWS;;;;;;
com.pos.bisaaiacademy;65;2.0.0.6;id;aosp;2021-08-24T01:12:28Z;1,63E+17;2021-08-24T01:12:28Z;1,63E+17;5;;;;;;;;;;;;
com.pos.bisaaiacademy;65;2.0.0.6;id;OP4EFDL1;2021-08-24T05:53:42Z;1,63E+17;2021-08-24T05:53:42Z;1,63E+17;5;;"""Bisa ai academy sangat membantu saya dalam pengenalan teknologi ";" tidak siswa si masa oandemi bisa ai juga membantu masyarakat umum dalam teknologi tanpa harus ke mana-kemana""";;;;http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOHjA9_GoaKRZRUtNl9kHdJJXVJ7-Ptjjmy2-9i6NALXRQSNz60V1Fjks4CH67nIH2yibsjxjvhq1mHR&corpus=PUBLIC_REVIEWS;;;;;
